name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
MODU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MODU 5 00011  ,SOP33 6 011011   ,               ,
MOV.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,MOV 6 000110     ,               ,
MSUBF.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MSUBF 6 011001   ,               ,
MTC0        ,R    ,COP0 6 010000     ,MT 5 00100     ,rt 5 - 1       ,rd 5 - 2         ,0 8 0         ,sel 3 - 3        ,               ,
MTC1        ,R    ,COP1 6 010001     ,MT 5 00100     ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
MTHC0       ,R    ,COP0 6 010000     ,MTH 5 00110    ,rt 5 - 1       ,rd 5 - 2         ,0 8 0         ,sel 3 - 3        ,               ,
MTHC1       ,R    ,COP1 6 010001     ,MTH 5 00111    ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
MUH         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MUH 5 00011   ,SOP30 6 011000   ,               ,
MUHU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MUHU 5 00010  ,SOP31 6 011001   ,               ,
MUL         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MUL 5 00010   ,SOP30 6 011000   ,               ,
MUL.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MUL 6 000010     ,               ,
MULU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MULU 5 00010  ,SOP31 6 011001   ,               ,
NEG.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,NEG 6 000111     ,               ,
NOR         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,NOR 6 100111     ,               ,
OR          ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,OR 6 100101      ,               ,
PAUSE       ,R    ,SPECIAL 6 000000  ,0 5 0          ,0 5 0          ,0 5 0            ,5 5 00101     ,SLL 6 0          ,               ,
PREF        ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,hint 5 - 1     ,offset 9 - 2     ,0 1 0         ,PREF 6 110101    ,               ,
PREFE       ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,hint 5 - 1     ,offset 9 - 2     ,0 1 0         ,PREF 6 100011    ,               ,
RDHWR       ,R    ,SPECIAL3 6 011111 ,0 5 0          ,rt 5 - 1       ,rd 5 - 2         ,0 2 0         ,sel 3 - 3        ,RDHWR 6 111011 ,
RDPGPR      ,R    ,COP0 6 010000     ,RDPGPR 5 01010 ,rt 5 - 2       ,rd 5 - 1         ,0 11 0        ,                 ,               ,
